Grupo,Test,Res,VGRESULT,VGCUTIN,X6,Erro,Code,TEST.WORKED
GrupoA,kal00,31, 6144 0 0 17490 0 ,23634,NA,ERR_STRING_TO_X,31,TRUE
GrupoA,kal01,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal02,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal03,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal04,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal05,1,-1,-1,"syntax error, unexpected TOKEN_ERRO ",0,0,FALSE
GrupoA,kal06,10, 0 0 0 17018 0 ,17018,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal07,10, 0 0 0 17018 0 ,17018,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal08,10, 0 0 0 17004 0 ,17004,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal09,10, 0 0 0 17001 0 ,17001,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal10,1,-1,-1,"syntax error, unexpected TOKEN_ERRO ",ERR_UNDECLARED,10,FALSE
GrupoA,kal11,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal12,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal13,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal14,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal15,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal16,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal17,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal18,10, 0 0 0 16978 0 ,16978,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal19,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal20,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal21,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal22,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal23,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal24,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal25,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal26,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal27,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal28,10, 0 0 0 16822 0 ,16822,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal29,11, 16 0 0 16724 0 ,16740,NA,ERR_DECLARED,11,TRUE
GrupoA,kal30,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal31,11, 16 0 0 16914 0 ,16930,NA,ERR_DECLARED,11,TRUE
GrupoA,kal32,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal33,11, 16 0 0 17030 0 ,17046,NA,ERR_DECLARED,11,TRUE
GrupoA,kal34,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal35,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal36,11, 16 0 0 17098 0 ,17114,NA,ERR_DECLARED,11,TRUE
GrupoA,kal37,10, 0 0 0 17114 0 ,17114,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal38,10, 0 0 0 17114 0 ,17114,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal39,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal40,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal41,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal42,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal43,10, 0 0 0 16918 0 ,16918,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal44,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal45,10, 0 0 0 17074 0 ,17074,NA,ERR_UNDECLARED,10,TRUE
GrupoA,kal46,20, 8192 0 0 17118 0 ,25310,NA,ERR_VARIABLE,20,TRUE
GrupoA,kal47,20, 4096 0 0 16906 0 ,21002,NA,ERR_VARIABLE,20,TRUE
GrupoA,kal48,21, 8192 0 0 17102 0 ,25294,NA,ERR_VECTOR,21,TRUE
GrupoA,kal49,21, 4096 0 0 16906 0 ,21002,NA,ERR_VECTOR,21,TRUE
GrupoA,kal50,22, 10240 0 0 17272 0 ,27512,NA,ERR_FUNCTION,22,TRUE
GrupoA,kal51,22, 10240 0 0 17288 0 ,27528,NA,ERR_FUNCTION,22,TRUE
GrupoA,kal52,30, 8192 0 0 17384 0 ,25576,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal53,30, 8192 0 0 17384 0 ,25576,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal54,30, 8192 0 0 17370 0 ,25562,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal55,30, 8192 0 0 17367 0 ,25559,NA,ERR_STRING_TO_X,31,FALSE
GrupoA,kal56,30, 8192 0 0 17358 0 ,25550,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal57,30, 8192 0 0 17358 0 ,25550,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal58,30, 8192 0 0 17344 0 ,25536,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal59,30, 8192 0 0 17367 0 ,25559,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,kal60,33, 14336 0 0 17495 0 ,31831,NA,ERR_STRING_SIZE,33,TRUE
GrupoA,kal61,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal62,41, 8192 0 0 17232 0 ,25424,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoA,kal63,41, 12288 0 0 17472 0 ,29760,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoA,kal64,40, 4096 0 0 17160 0 ,21256,NA,ERR_MISSING_ARGS,40,TRUE
GrupoA,kal65,40, 8192 0 0 17400 0 ,25592,NA,ERR_MISSING_ARGS,40,TRUE
GrupoA,kal66,42, 8192 0 0 17316 0 ,25508,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal67,42, 8192 0 0 17316 0 ,25508,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal68,42, 8192 0 0 17325 0 ,25517,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal69,42, 8192 0 0 17299 0 ,25491,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal70,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal71,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal72,42, 16384 0 0 17767 0 ,34151,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoA,kal73,30, 8192 0 0 17111 0 ,25303,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,kal74,30, 14336 0 0 17323 0 ,31659,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,kal75,50, 4096 0 0 16926 0 ,21022,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoA,kal76,50, 4096 0 0 16926 0 ,21022,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoA,kal77,0,no leaks are possible,0,NA,ERR_WRONG_PAR_INPUT,50,FALSE
GrupoA,kal78,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal79,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal80,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal81,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal82,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal83,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal84,51, 4096 0 0 17208 0 ,21304,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoA,kal85,51, 4096 0 0 17182 0 ,21278,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoA,kal86,0,no leaks are possible,0,NA,ERR_WRONG_PAR_OUTPUT,51,FALSE
GrupoA,kal87,52, 4096 0 0 17226 0 ,21322,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoA,kal88,52, 4096 0 0 17199 0 ,21295,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoA,kal89,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal90,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal91,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal92,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal93,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal94,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal95,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal96,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,kal97,53, 0 0 0 17085 0 ,17085,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoA,kal98,53, 0 0 0 17085 0 ,17085,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoA,kal99,0,no leaks are possible,0,NA,ERR_CHAR_TO_X,32,FALSE
GrupoA,mao01,30, 10240 0 0 17570 0 ,27810,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao02,30, 10240 0 0 17543 0 ,27783,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao03,30, 14336 0 0 17770 0 ,32106,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao04,30, 14336 0 0 17743 0 ,32079,NA,ERR_WRONG_TYPE,30,TRUE
GrupoA,mao05,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao06,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao07,0,no leaks are possible,0,NA,0,0,TRUE
GrupoA,mao08,31, 8192 0 0 17387 0 ,25579,NA,ERR_STRING_TO_X,31,TRUE
GrupoA,mao09,30, 8192 0 0 17267 0 ,25459,NA,ERR_WRONG_TYPE,30,TRUE
GrupoB,kal00,31, 2 0 0 17915 0 ,17917,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal01,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal02,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal03,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal04,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal05,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal06,10, 0 0 0 17346 0 ,17346,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal07,10, 0 0 0 17346 0 ,17346,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal08,10, 0 0 0 17346 0 ,17346,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal09,10, 0 0 0 17346 0 ,17346,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal10,10, 0 0 0 17347 0 ,17347,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal11,139,-1,-1,Segmentation fault,0,0,FALSE
GrupoB,kal12,139,-1,-1,Segmentation fault,0,0,FALSE
GrupoB,kal13,139,-1,-1,Segmentation fault,0,0,FALSE
GrupoB,kal14,139,-1,-1,Segmentation fault,0,0,FALSE
GrupoB,kal15,139,-1,-1,Segmentation fault,ERR_UNDECLARED,10,FALSE
GrupoB,kal16,139,-1,-1,Segmentation fault,ERR_UNDECLARED,10,FALSE
GrupoB,kal17,139,-1,-1,Segmentation fault,ERR_UNDECLARED,10,FALSE
GrupoB,kal18,139,-1,-1,Segmentation fault,ERR_UNDECLARED,10,FALSE
GrupoB,kal19,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal20,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal21,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal22,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal23,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal24,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal25,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal26,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal27,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal28,10, 0 0 0 17184 0 ,17184,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal29,11, 0 0 0 16928 0 ,16928,NA,ERR_DECLARED,11,TRUE
GrupoB,kal30,11, 0 0 0 17316 0 ,17316,NA,0,0,FALSE
GrupoB,kal31,11, 0 0 0 17316 0 ,17316,NA,ERR_DECLARED,11,TRUE
GrupoB,kal32,11, 0 0 0 17572 0 ,17572,NA,0,0,FALSE
GrupoB,kal33,11, 0 0 0 17572 0 ,17572,NA,ERR_DECLARED,11,TRUE
GrupoB,kal34,11, 0 0 0 17316 0 ,17316,NA,0,0,FALSE
GrupoB,kal35,11, 0 0 0 17316 0 ,17316,NA,0,0,FALSE
GrupoB,kal36,11, 0 0 0 17316 0 ,17316,NA,ERR_DECLARED,11,TRUE
GrupoB,kal37,10, 0 0 0 18114 0 ,18114,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal38,10, 0 0 0 18114 0 ,18114,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal39,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal40,11, 0 0 0 17316 0 ,17316,NA,0,0,FALSE
GrupoB,kal41,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal42,0, 4 0 0 0 0 ,4,NA,0,0,TRUE
GrupoB,kal43,10, 0 0 0 17952 0 ,17952,NA,ERR_UNDECLARED,10,TRUE
GrupoB,kal44,139,-1,-1,Segmentation fault,0,0,FALSE
GrupoB,kal45,139,-1,-1,Segmentation fault,ERR_UNDECLARED,10,FALSE
GrupoB,kal46,139,-1,-1,Segmentation fault,ERR_VARIABLE,20,FALSE
GrupoB,kal47,20, 0 0 0 17316 0 ,17316,NA,ERR_VARIABLE,20,TRUE
GrupoB,kal48,21, 24 0 0 17478 0 ,17502,NA,ERR_VECTOR,21,TRUE
GrupoB,kal49,21, 24 0 0 17316 0 ,17340,NA,ERR_VECTOR,21,TRUE
GrupoB,kal50,22, 0 0 0 17870 0 ,17870,NA,ERR_FUNCTION,22,TRUE
GrupoB,kal51,139,-1,-1,Segmentation fault,ERR_FUNCTION,22,FALSE
GrupoB,kal52,31, 0 0 0 17623 0 ,17623,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal53,31, 0 0 0 17623 0 ,17623,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal54,31, 0 0 0 17623 0 ,17623,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal55,31, 0 0 0 17623 0 ,17623,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,kal56,32, 0 0 0 17614 0 ,17614,NA,ERR_CHAR_TO_X,32,TRUE
GrupoB,kal57,32, 0 0 0 17614 0 ,17614,NA,ERR_CHAR_TO_X,32,TRUE
GrupoB,kal58,32, 0 0 0 17614 0 ,17614,NA,ERR_CHAR_TO_X,32,TRUE
GrupoB,kal59,31, 0 0 0 17623 0 ,17623,NA,ERR_CHAR_TO_X,32,FALSE
GrupoB,kal60,33, 0 0 0 17794 0 ,17794,NA,ERR_STRING_SIZE,33,TRUE
GrupoB,kal61,33, 0 0 0 17791 0 ,17791,NA,0,0,FALSE
GrupoB,kal62,41, 0 0 0 17812 0 ,17812,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoB,kal63,41, 0 0 0 18016 0 ,18016,NA,ERR_EXCESS_ARGS,41,TRUE
GrupoB,kal64,40, 0 0 0 17808 0 ,17808,NA,ERR_MISSING_ARGS,40,TRUE
GrupoB,kal65,40, 0 0 0 18012 0 ,18012,NA,ERR_MISSING_ARGS,40,TRUE
GrupoB,kal66,42, 0 0 0 17912 0 ,17912,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoB,kal67,42, 0 0 0 17912 0 ,17912,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoB,kal68,42, 0 0 0 17921 0 ,17921,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoB,kal69,42, 0 0 0 17912 0 ,17912,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoB,kal70,0, 30 2 0 0 0 ,32,NA,0,0,TRUE
GrupoB,kal71,42, 0 0 0 18116 0 ,18116,NA,0,0,FALSE
GrupoB,kal72,42, 0 0 0 18322 0 ,18322,NA,ERR_WRONG_TYPE_ARGS,42,TRUE
GrupoB,kal73,31, 0 0 0 17487 0 ,17487,NA,ERR_WRONG_TYPE,30,FALSE
GrupoB,kal74,139,-1,-1,Segmentation fault,ERR_WRONG_TYPE,30,FALSE
GrupoB,kal75,50, 0 0 0 17372 0 ,17372,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoB,kal76,50, 0 0 0 17372 0 ,17372,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoB,kal77,50, 0 0 0 17372 0 ,17372,NA,ERR_WRONG_PAR_INPUT,50,TRUE
GrupoB,kal78,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal79,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal80,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal81,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal82,0, 2 0 0 0 0 ,2,NA,0,0,TRUE
GrupoB,kal83,0, 2 0 0 0 0 ,2,NA,0,0,TRUE
GrupoB,kal84,51, 0 0 0 17517 0 ,17517,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoB,kal85,51, 0 0 0 17508 0 ,17508,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoB,kal86,51, 0 0 0 17616 0 ,17616,NA,ERR_WRONG_PAR_OUTPUT,51,TRUE
GrupoB,kal87,52, 0 0 0 17517 0 ,17517,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoB,kal88,52, 0 0 0 17616 0 ,17616,NA,ERR_WRONG_PAR_RETURN,52,TRUE
GrupoB,kal89,52, 0 0 0 17372 0 ,17372,NA,0,0,FALSE
GrupoB,kal90,52, 0 0 0 17372 0 ,17372,NA,0,0,FALSE
GrupoB,kal91,52, 0 0 0 17372 0 ,17372,NA,0,0,FALSE
GrupoB,kal92,52, 0 0 0 17372 0 ,17372,NA,0,0,FALSE
GrupoB,kal93,52, 0 0 0 17372 0 ,17372,NA,0,0,FALSE
GrupoB,kal94,52, 0 0 0 17238 0 ,17238,NA,0,0,FALSE
GrupoB,kal95,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal96,0, 28 2 0 0 0 ,30,NA,0,0,TRUE
GrupoB,kal97,53, 0 0 0 17478 0 ,17478,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoB,kal98,53, 0 0 0 17478 0 ,17478,NA,ERR_WRONG_PAR_SHIFT,53,TRUE
GrupoB,kal99,32, 2 0 0 18014 0 ,18016,NA,ERR_CHAR_TO_X,32,TRUE
GrupoB,mao01,31, 2 0 0 18053 0 ,18055,NA,ERR_WRONG_TYPE,30,FALSE
GrupoB,mao02,32, 2 0 0 18152 0 ,18154,NA,ERR_WRONG_TYPE,30,FALSE
GrupoB,mao03,31, 4 0 0 18349 0 ,18353,NA,ERR_WRONG_TYPE,30,FALSE
GrupoB,mao04,32, 4 0 0 18448 0 ,18452,NA,ERR_WRONG_TYPE,30,FALSE
GrupoB,mao05,0, 110 8 0 0 0 ,118,NA,0,0,TRUE
GrupoB,mao06,0, 138 10 0 0 0 ,148,NA,0,0,TRUE
GrupoB,mao07,0, 166 12 0 0 0 ,178,NA,0,0,TRUE
GrupoB,mao08,31, 2 0 0 18171 0 ,18173,NA,ERR_STRING_TO_X,31,TRUE
GrupoB,mao09,31, 0 0 0 18013 0 ,18013,NA,ERR_WRONG_TYPE,30,FALSE
GrupoC,kal00,30, 1686 246 0 17622 0 ,19554,NA,ERR_STRING_TO_X,31,FALSE
GrupoC,kal01,0, 1462 346 0 353 0 ,2161,NA,0,0,TRUE
GrupoC,kal02,0, 1462 346 0 353 0 ,2161,NA,0,0,TRUE
GrupoC,kal03,0, 1510 350 0 297 0 ,2157,NA,0,0,TRUE
GrupoC,kal04,0, 1510 347 0 297 0 ,2154,NA,0,0,TRUE
GrupoC,kal05,0, 1513 347 0 297 0 ,2157,NA,0,0,TRUE
GrupoC,kal06,10, 446 0 0 17145 0 ,17591,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal07,10, 446 0 0 17145 0 ,17591,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal08,10, 494 0 0 17093 0 ,17587,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal09,10, 494 0 0 17090 0 ,17584,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal10,10, 497 0 0 17090 0 ,17587,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal11,0, 2046 446 0 465 0 ,2957,NA,0,0,TRUE
GrupoC,kal12,0, 2046 446 0 465 0 ,2957,NA,0,0,TRUE
GrupoC,kal13,0, 2094 450 0 409 0 ,2953,NA,0,0,TRUE
GrupoC,kal14,0, 2094 447 0 409 0 ,2950,NA,0,0,TRUE
GrupoC,kal15,10, 738 50 0 17297 0 ,18085,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal16,10, 738 50 0 17297 0 ,18085,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal17,10, 786 50 0 17245 0 ,18081,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal18,10, 786 50 0 17242 0 ,18078,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal19,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal20,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal21,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal22,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal23,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal24,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal25,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal26,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal27,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal28,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal29,11, 392 50 0 16796 0 ,17238,NA,ERR_DECLARED,11,TRUE
GrupoC,kal30,11, 592 50 0 17040 0 ,17682,NA,0,0,FALSE
GrupoC,kal31,11, 496 0 0 17186 0 ,17682,NA,ERR_DECLARED,11,TRUE
GrupoC,kal32,1,-1,-1,Erro sintatico na linha 3 ,0,0,FALSE
GrupoC,kal33,1,-1,-1,Erro sintatico na linha 4 ,ERR_DECLARED,11,FALSE
